"בנק ישראל","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"החטיבה למידע ולסטטיסטיקה","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"יחידת שוק ההון, בנקאות וביטוח","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"לוח 1: יתרות החוב של הלווים במשק (האשראי מנקודת ראות הלווים)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","אומדן החוב מנקודת ראות הלווים: שווי החוב שעל הלווים להחזיר למלווים  המחושב כאשראי בנקאי לפני הפרשה לחובות מסופקים ואג""ח סחיר ולא סחיר לפי ערך נקוב מתואם (יתרות לסופי חודשים, מיליארדי ש""ח, מחירים שוטפים)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","36525","36556","36585","36616","36646","36677","36707","36738","36769","36799","36830","36860","36891","36922","36950","36981","37011","37042","37072","37103","37134","37164","37195","37225","37256","37287","37315","37346","37376","37407","37437","37468","37499","37529","37560","37590","37621","37652","37680","37711","37741","37772","37802","37833","37864","37894","37925","37955","37986","38017","38046","38077","38107","38138","38168","38199","38230","38260","38291","38321","38352","38383","38411","38442","38472","38503","38533","38564","38595","38625","38656","38686","38717","38748","38776","38807","38837","38868","38898","38929","38960","38990","39021","39051","39082","39113","39141","39172","39202","39233","39263","39294","39325","39355","39386","39416","39447","39478","39507","39538","39568","39599","39629","39660","39691","39721","39752","39782","39813","39844","39872","39903","39933","39964","39994","40025","40056","40086","40117","40147","40178","40209","40237","40268","40298","40329","40359","40390","40421","40451","40482","40512","40543","40574","40602","40633","40663","40694","40724","40755","40786","40816","40847","40877","40908","40939","40968","40999","41029","41060","41090","41121","41152","41182","41213","41243","41274","41305","41333","41364","41394","41425","41455","41486","41517","41547","41578","41608","41639","41670","41698","41729","41759","41790","41820","41851","41882","41912","41943","41973","42004","42035","42063","42094","42124","42155","42185","42216","42247","42277"
"החוב של המגזר העסקי (ללא בנקים וחב' ביטוח)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"   סה""כ לבנקים1","274.42412791149","276.69785809972","278.87927789892","281.2789083536","283.54610821502","285.79536306494","288.0183230451","290.73454716276","293.45117247946","296.7949149402","301.98127372593","307.09204956774","313.29825412497","317.49445342669","322.20184949598","326.73543210794","329.61653326401","332.25590055122","335.84447833074","339.80566603325","343.97955988391","349.45909590912","350.76783569966","351.98544958269","354.28297415109","357.99005688075","362.15069478898","367.0609333104","369.95605535336","372.83320586406","375.71582963148","377.01932956271","378.81515788581","381.24581667903","380.24416471501","378.95468403291","380.09709597073","378.94709146095","377.59864019017","376.07367034863","370.96000581482","366.2288597342","362.11876961462","362.07040951434","362.15144022983","364.36816256763","363.91513330758","363.35374703049","363.86067142787","364.00552827914","364.11611998487","364.82883530122","364.12390453801","362.56774383782","362.30203177795","360.91780399772","359.57270285747","359.29929496517","357.83448154563","357.4085476422","357.03123666525","357.36772914661","356.35507637578","353.24181182618","352.40390231066","353.33395317658","358.34829471988","355.89877082079","357.63493336847","362.38564094739","367.58786100816","367.42146418784","365.79677887974","363.37209665803","365.31933867613","366.19747107398","364.59966717296","367.55842203083","365.67200348573","363.20100565893","366.22931840093","363.64549869816","362.82715078408","362.48202662296","364.49267969105","370.80026962165","370.1025162913","375.52564397396","369.58695142831","373.24769953721","380.84329333367","386.13725070036","379.85458212569","379.04567348699","376.97699359103","379.3773015336","386.81288369938","381.41029862109","388.54777056961","391.82563744864","392.63540408448","394.51300807327","402.23789201475","403.49066351324","405.9008697363","410.12755232132","417.11144744703","424.67640826919","418.75583530293","421.47807084068","420.11680674055","422.01689209708","416.55759284492","409.50488860099","405.43512130129","404.42401405541","404.74436092527","399.45029900364","400.56488093027","401.02435818361","393.63816102056","391.39579446125","393.66534670033","393.01823132271","397.61763941117","395.97124300699","398.54955208631","399.89419601013","404.48430933923","405.37755316144","404.50857695073","407.84749809059","415.24903829787","398.9829267633","400.0659343426","395.82857645598","397.66160279189","401.00176903012","397.29436639324","399.97121796658","406.10662264931","409.41610219428","404.22414163673","409.53768476184","411.80312336348","411.32121806817","413.36926436818","409.48695772023","409.63116452502","411.4535845073","412.86266481843","414.08177865334","411.46015747787","408.72078469869","414.30732212919","412.47825224928","408.74840128947","407.52670954227","407.37246750119","403.87630298131","402.00846929032","402.06060833901","395.16898617905","394.98806786871","394.92284352988","393.78012863425","390.90747406902","394.23147528862","392.53531544659","392.83890768883","391.31675285958","392.33470541235","393.86820112216","393.57539093746","390.87601157942","390.13864070863","392.05116806251","397.9196726984","394.92303624761","396.57349235999","393.19465353087","400.56924436979","396.05026219478","402.17248917656","400.47658375326","399.00901017287","399.79020284964","400.75855895121","402.11269725588","402.87732134652"
"   אשראי לציבור שלא לדיור","272.87975037361","275.11530467361","277.35085897361","279.71185525293","281.97548340293","284.23911155293","286.48944765735","289.11058946068","291.73173126401","294.83110391623","299.8182877329","304.80547154957","310.61175872753","315.00802735419","319.40429598086","323.84223486453","326.60087622787","329.3595175912","332.58728590961","336.58731860627","340.58735130294","346.05614887274","347.20105673274","348.34596459274","350.55033915739","354.39185232406","358.23336549073","363.12472664959","365.74172314959","368.35871964959","371.33152805694","373.05138208694","374.77123611694","377.64546422977","376.47665535977","375.30784648977","376.4342643242","375.07898457153","373.72370481887","372.57654449765","367.59633991698","362.61613533632","358.34913162114","358.47279454114","358.59645746114","360.07144750337","359.64671949004","359.2219914767","359.71809795445","359.93791481111","360.15773166778","360.98868084281","360.29419739948","359.59971395614","359.31456824193","357.96472829527","356.6148883486","356.34430891375","354.85503119042","354.42252718708","354.04965361624","354.58768688624","353.91811314624","350.91258607545","349.94143682212","350.71808127878","355.58114715279","353.06736924279","354.75140684279","359.11940544852","363.80448521852","363.59302344852","362.535475682","360.186738832","362.117149572","362.76655854944","361.07706098944","363.93118246944","361.88016227772","359.35509691105","362.21259058438","359.55335587775","358.81172326109","358.49632580442","360.11973871973","366.44869481307","365.2039320264","370.16499158375","364.28794109042","367.73278429708","375.08877304053","380.07579307053","374.02425139053","372.64980768163","370.7020089483","372.98381570496","380.26772829041","374.98657631041","382.36222646041","385.22816894306","386.02735575298","388.00097642298","395.35917614288","396.55353672288","398.75806228263","402.51223509192","409.51392429257","416.55179713321","410.42586410459","413.34535079437","411.92449144362","414.86605130854","410.02408118112","402.8558080737","399.0691792363","398.48888098555","398.7441946548","393.45603078076","394.99273133334","395.63932838592","387.92071829738","386.0688697063","388.38788045522","387.85610532204","392.39294506763","390.15354433321","392.73887283802","394.15373067361","398.82513306919","399.48835116553","399.07092490803","402.04171275028","408.96977883448","392.60068710803","393.64314323664","390.0603527","391.530980503","394.899618707","391.2712279","393.95732725123","399.82929776246","403.03918202","398.12714796815","403.27736479022","405.537098187","405.03832427117","407.30168765747","403.2065211","403.28558485084","405.14293618916","406.39259839","406.5268645221","403.7424584642","400.0314122","405.86677060203","403.81860482797","400.04059178","398.69758576222","398.55935785778","395.22431107","393.83118033901","393.76539714099","386.88703038","388.5468084737","388.27374889739","387.12433926","384.27699062435","387.63088035565","386.13712284","385.928142743","384.446202477","385.27093928","387.30952749275","387.14377925725","383.73791864116","382.7537896436","384.91604374604","390.17663186674","387.32230118309","389.07081923597","385.25410905232","392.98858325565","388.08965069899","394.32750297232","392.82133738683","391.14016574781","391.50112954232","393.62524838275","394.98997145319","395.63748832232"
"   אג""ח סחיר","1.5443775378812","1.5825534261185","1.5284189253155","1.5670531006668","1.5706248120847","1.5562515120078","1.5288753877515","1.6239577020776","1.7194412154466","1.9638110239625","2.1629859930302","2.2865780181735","2.68649539744","2.4864260724951","2.7975535151191","2.8931972434101","3.0156570361419","2.8963829600173","3.2571924211311","3.2183474269809","3.3922085809662","3.4029470363802","3.5667789669197","3.6394849899493","3.7326349936935","3.5982045566899","3.9173292982494","3.9362066608136","4.2143322037701","4.4744862144748","4.3843015745337","3.9679474757621","4.0439217688697","3.600352449267","3.767509355239","3.6468375431467","3.6628316465339","3.8681068894155","3.8749353712987","3.4971258509819","3.363665897833","3.6127243978805","3.7696379934834","3.597614973206","3.5549827686864","4.2967150642618","4.2684138175486","4.1317555537917","4.1425734734251","4.0676134680316","3.9583883170944","3.8401544584077","3.8297071385309","2.9680298816794","2.9874635360121","2.9530757024539","2.9578145088683","2.9549860514252","2.979450355217","2.9860204551137","2.9815830490175","2.7800422603774","2.4369632295414","2.3292257507315","2.4624654885458","2.6158718977975","2.7671475670888","2.8314015779995","2.8835265256796","3.266235498867","3.7833757896427","3.8284407393142","3.2613031977331","3.1853578260267","3.2021891041316","3.4309125245455","3.5226061835189","3.6272395613936","3.7918412080157","3.8459087478812","4.0167278165442","4.0921428204033","4.0154275229986","3.9857008185458","4.3729409713136","4.3515748085831","4.8985842648949","5.3606523902136","5.2990103378991","5.5149152401318","5.7545202931433","6.0614576298321","5.8303307351623","6.395865805358","6.2749846427346","6.3934858286336","6.5451554089692","6.4237223106717","6.1855441091982","6.5974685055751","6.6080483315025","6.5120316502961","6.8787158718644","6.9371267903623","7.142807453676","7.6153172294041","7.597523154458","8.1246111359736","8.3299711983462","8.1327200463194","8.1923152969331","7.1508407885444","6.5335116637981","6.6490805272905","6.3659420649977","5.9351330698604","6.0001662704782","5.9942682228794","5.5721495969351","5.3850297976866","5.7174427231791","5.3269247549506","5.2774662451104","5.1621260006677","5.2246943435459","5.8176986737766","5.8106792482857","5.7404653365197","5.6591762700393","5.8892019959122","5.4376520427026","5.8057853403113","6.2792594633879","6.3822396552676","6.4227911059679","5.7682237559825","6.1306222888852","6.1021503231246","6.023138493239","6.0138907153525","6.2773248868459","6.3769201742797","6.0969936685763","6.2603199716186","6.2660251764836","6.2828937970018","6.0675767107124","6.2804366202313","6.345579674176","6.3106483181471","6.4700664284297","7.5549141312404","7.7176990136659","8.689372498689","8.4405515271567","8.6596474213051","8.7078095094707","8.8291237800488","8.8131096434108","8.6519919113123","8.1772889513043","8.2952111980189","8.2819557990472","6.4412593950169","6.6490946324912","6.6557893742488","6.6304834446766","6.6005949329691","6.3981926065928","6.9107649458328","6.8705503825751","7.063766132352","6.558673629413","6.4316116802114","7.1380929382617","7.3848510650312","7.1351243164673","7.7430408316594","7.6007350645131","7.5026731240262","7.9405444785487","7.5806611141321","7.960611495794","7.8449862042368","7.6552463664381","7.8688444250516","8.289073307317","7.1333105684586","7.1227258026892","7.2398330241952"
"   סה""כ למוסדיים","11.214733468378","9.901734325623","9.7563521901726","9.6760812730747","9.7402909903667","9.4952038886455","9.5725778650975","10.378274176265","10.321706749979","10.359492695631","10.370436495421","10.460947711481","10.638367992208","10.533009491014","10.536338253797","10.541543629921","10.531945925379","10.611942226078","10.978010885061","10.668917819317","10.533025583736","10.666742919368","10.801049291251","10.89192670066","12.605397891756","12.831254411269","13.239462643429","13.980257412036","14.838503550119","15.98629042887","17.111713727004","17.148950799537","17.630416569957","17.686361400222","18.795664999016","19.630513170795","23.599645430114","24.095730385817","24.860472153399","25.491199426329","26.383454641047","26.774815134007","27.620103484166","28.098976702322","28.63548870433","29.159846237671","30.261724081877","31.438527945532","32.768573660644","33.157070346845","34.444941713907","35.793810787815","37.263954749148","38.34305977599","39.304373602673","40.598396426491","42.073138377973","43.174391062001","43.58581761656","45.065853355561","46.054755395583","46.603269269273","47.343335454922","49.5372698657","54.965199020631","58.308587004663","61.478437529646","65.738608556741","69.642306654613","71.606235639628","74.159363923091","76.034423959707","78.153188348536","78.233658250302","80.306309438298","84.101263391267","84.663863445241","87.962175905712","89.752622771935","92.117960518558","95.349602100416","97.563597889979","99.966426046235","103.88476625172","111.53047726796","112.16122645035","117.88733006428","126.14223710306","127.12145392182","130.23017296217","138.88150236539","145.87465718044","148.33705520803","151.45348408009","153.37721084981","156.4122663313","158.21519894239","154.88916927369","155.40034007657","156.39364366492","154.970763677","154.61337021202","154.39002083968","154.72314555956","155.24212051354","159.22647383389","156.17282578039","153.92146225229","155.60244834261","151.82880609579","152.49917412169","146.89874686594","144.49935536053","143.84213123995","138.54257044516","141.95516159207","143.50718425411","143.17158608359","141.8637235796","141.56183589522","138.64352678854","136.19452904046","136.68687006985","134.85131607211","134.23898940683","135.01024004729","135.29726413271","135.38111365147","134.84993539445","136.05993160552","134.62181185539","133.88061111563","133.68806700695","133.8938036921","135.20232036138","133.77152224583","136.40189059818","136.59862423365","136.00811235714","141.32412001665","144.47533694467","145.18642835974","144.27556387071","147.37991235503","148.09270852543","147.34323001415","149.53770809837","147.80268557655","148.23934314127","151.97965556991","153.48976221262","152.83710015104","154.11850093199","155.16985881787","154.25981691818","152.95548748088","151.63921088903","152.00079779168","151.48843177297","151.42313647996","149.93682281802","153.94176403631","150.43272210074","149.60128518301","151.86862046994","150.67475315884","150.5834664119","152.15016229555","149.0022276717","148.65857444332","147.31661653639","145.11320649216","146.18735818566","150.04286514123","147.68760310897","147.54732401126","149.02237319471","149.41357394445","148.98081847314","149.97419718252","148.76924042533","150.54260042191","151.60454641969","150.12870835146","151.10576685451","152.50671508865","150.92274993522","150.71964692026","151.81230860578","153.08231141547"
"    הלוואות","3.528415","3.400271","3.481216","3.454645","3.494758","3.517828","3.502749","3.51276","3.554684","3.55262","3.521985","3.540739","3.603445","3.522651","3.482954","3.478647","3.442369","3.480972","3.42045","3.4197979333333","3.4060883904762","3.392378847619","3.3786693047619","3.3649597619048","3.574818","3.553698","3.522279","3.52174","3.696596","3.565752","3.641117","3.637451","3.634052","3.633965","3.630427","3.649767","3.684818","3.7434615416467","3.8021050832933","3.86074862494","3.9172590460791","3.9737694672182","4.0302798883573","4.0650723972557","4.0998649061541","4.1346574150525","4.0939972767017","4.0533371383508","4.012677","4.0300481099003","4.0474192198005","4.0647903297008","4.0623047745822","4.0598192194636","4.057333664345","4.238844399795","4.420355135245","4.601865870695","4.8081960704633","5.0145262702317","5.22085647","5.3497845115275","5.4809620321469","5.7380703492212","5.737302546459","5.6156388240057","5.5965680228965","5.6586307941445","5.88971991478","6.03933774205","6.2765475569325","6.36481894084","6.47802053767","6.5135409548653","6.955920718041","7.51325468485","7.6409573068","7.875873973766","8.38991993851","8.647175558442","8.72070245765","8.60774774","8.5051876323","8.83165723301","9.406081724914","9.47526387016","9.633407416884","10.241593598384","10.422245854476","10.54430366166","10.841599186088","11.00611851044","10.874422638114","10.698477248168","10.91642990634","10.963726533722","11.08530807811","10.925060576352","11.091849373528","11.128975710926","11.293842074804","11.517377029103","11.54988675059","11.271240385964","11.191110714426","11.247093973174","10.91081858132","10.04221974635","10.75798026223","11.33099110733","11.50215069947","11.438395115151","12.894350276976","13.329972596919","13.566865536226","14.292957677928","14.411802897444","14.616949222871","14.324798848115","14.433299419558","14.13049480718","14.577578178034","14.730922258069","14.97940220997","15.959273846616","16.220707506771","16.232180221157","16.404754229577","16.917975446959","17.07168021842","17.073808324295","17.055449618056","17.270013387309","18.667554834621","19.007489993466","19.252379584256","21.019264032044","21.391537684003","21.661362922507","23.419912778988","23.181758868258","22.893862950107","23.426623248203","23.462801246971","24.399075007809","25.617798913267","26.345299982951","26.815433052879","27.853442540582","28.257811156796","28.055100296617","29.234820773704","29.716351338812","30.679568596078","32.406098137113","33.282046496903","33.398617008595","34.326617716929","34.498057973474","36.293235151844","36.400017971209","37.988127717949","37.228192283633","38.067646090253","39.208771913436","40.259256290078","40.883926127622","42.260202563393","42.667298966048","43.71020105109","43.787504480923","44.564966469881","44.689641507571","45.406705512433","45.936065148703","46.190446897641","47.141753745726","47.324508883681","47.497043319999","48.434097875851","48.446356034975","49.8955989214","52.355289399666","53.582715778484","53.945442761377","54.875652586632","54.226238783069","55.236884532542","55.786606845244","55.573176861958"
"    אג""ח סחיר","7.6863184683778","6.501463325623","6.2751361901726","6.2214362730747","6.2455329903667","5.9773758886455","6.0698288650975","6.8655141762648","6.7670227499791","6.8068726956311","6.8484514954213","6.9202087114807","7.0349229922079","7.010358491014","7.0533842537973","7.0628966299208","7.0895769253789","7.1309702260781","7.5575608850615","7.2491198859832","7.1269371932597","7.2743640717486","7.4223799864889","7.5269669387552","9.030579891756","9.2775564112685","9.6843622354601","9.7305954527012","9.996370764764","10.55062808176","10.865706560039","10.675554322074","10.839793167747","10.736679887559","11.108816458458","10.988057199369","11.951445174182","11.978880453738","11.947739630033","11.415384202345","11.467223869264","11.419780230987","11.443415113825","11.436810581425","11.484480038609","11.791985842512","11.75944529582","11.630784425587","11.666374696664","11.850011815582","12.222853936587","12.455402428896","12.586221361893","12.923415539061","13.61802323992","13.977610724274","14.28492999127","14.643688300334","14.626701733554","14.199478923194","14.263858811217","15.231734184117","16.944913557641","17.393162634673","19.027748873638","20.604064143315","23.296573689429","23.261485467878","24.335444290271","25.183710895187","25.081163340501","26.580397808347","26.36887892852","26.288690808535","27.194213043952","29.369812024905","29.331854405463","30.891452938712","32.805117138851","33.847603426864","36.250183106521","37.112573551926","37.475970398431","38.109082761398","40.750159000778","40.380094538352","41.47083105515","41.661132125692","42.12325552821","48.399748619939","56.600318650321","58.712248113642","63.367947982383","70.407470758153","72.356092035506","73.84794255707","76.465493803374","76.009034859305","75.299031188749","77.319882210437","76.283061903149","77.253295362623","79.681216029722","81.348325483697","81.255803904569","85.438607685018","86.91681351906","89.054060828964","88.110269156234","85.00741954988","83.437217229919","81.233594110057","79.480916747395","79.486099818129","76.135231553596","76.300067157623","76.499030693391","77.443275876423","75.733822968012","75.360028282131","75.506088846823","74.016476301791","72.376798140583","72.09017238228","72.451231096284","72.787977223307","72.813129251639","73.451998364356","74.268901817775","74.751820055469","74.730544669647","74.563194959408","75.079381818203","73.520138460881","73.126108361316","73.401621685551","73.90674952687","74.279675821027","74.625343743967","77.41013530815","80.882258112643","82.939606703578","82.181301619962","83.781460182639","83.921896685232","82.222367454285","83.538760033953","82.086008287357","81.331746944315","83.786152919837","84.677829779248","84.02524552274","84.842650350826","85.272036457943","82.567195652407","80.632294935835","79.925122816191","79.738321836659","79.14955348184","78.824761430286","77.519794618382","79.30978478234","77.451819763521","76.23031061484","77.812052371697","76.068472404201","75.606565586263","76.056271903011","74.278195113023","73.202377717304","72.052218903485","69.622694336037","69.919055981295","71.020516829709","69.62567318605","70.116860599634","70.312601645312","70.926591505447","70.182874704394","69.542968995617","70.097207345098","69.924075418346","69.540021333131","68.631946191894","69.085466595228","69.949908181495","70.467908189638","69.558973712679","70.303185455542","71.710993096269"
